trad	simp	py	def
汪森	汪森	wāng sēn	《三體》中的人物
五大三粗	五大三粗	wǔ dà sān cū	又大又高
皮夾克	皮夹克	pí jiā kè	皮革的上衣
大嗓	大嗓	dà sǎng	大聲說話
學術界	学术界	xué shù jiè	學術的世界
少校	少校	shào xiào	軍銜。校官的最低級別，在中校之下。
史強	史强	shǐ qiáng	《三體》中的人物
伺服器	伺服器	sì fú qì	服務器（電腦）
吉普賽人	吉普赛人	jí pǔ sài rén	The Gypsies
少將	少将	shào jiàng	軍銜。將官的最低級別，在中將之下。
基礎科學	基础科学	jī chǔ kē xué	基礎的科學。
奈米	奈米	nài mǐ	量詞。用於計算長度。一奈米為十億分之一公尺（10^-9）。陸「納米」，英「nanometer」。
玩意	玩意	wán yì	玩具／曲藝、雜技等／事物
冰櫃	冰柜	bīng guì	一種冷藏裝置。溫度設定在攝氏零度以下。
載人	载人	zài rén	① 承載著人。 ② 所載的人，亦即乘坐的人。 ③ 記載事物的人。
綜合國力	综合国力	zōng hé guó lì	一個國家透過有目的的行動追求其戰略目標的綜合能力。
無核化	无核化	wú hé huà	在某一地區、某一國家沒有核武。
相向而行	相向而行	xiāng xiàng ér xíng	在政治、外交問題上，雙方有共同目標或共同願景、有共識等共通性表示。
求大同存小異	求大同存小异	qiú dà tóng cún xiǎo yì	不因個別分歧而影響主要方面的求得一致。
峰會	峰会	fēng huì	高手與高手之間的對決。
安檢	安检	ān jiǎn	「安全檢查」的簡稱。
人臉識別	人脸识别	rén liǎn shì bié	基於人的臉部特徵信息進行身分識別的一種生物識別技術。
緩解	缓解	huǎn jiě	使喪失鋒芒；使鈍；緩和。
判罰	判罚	pàn fá	判決
軟實力	软实力	ruǎn shí lì	一國透過吸引和說服別國服從你的目標從而使你得到自己想要東西的能力。
高發	高发	gāo fā	① 舊指科舉考試合格，被錄用。② 發病率高。
假冒偽劣	假冒伪劣	jiǎ mào wěi liè	以假充真，偽造劣質
威懾	威慑	wēi shè	以威勢使對方恐懼屈服。
作案	作案	zuò àn	犯罪
行進樂隊	行进乐队	xíng jìn lè duì	marching band
西班牙分支	西班牙分支	xī bān yá fēn zhī	Spanish Fork
西班牙分流	西班牙分流	xī bān yá fēn zhī	Spanish Fork
村舍	村舍	cūn shè	鄉村的房舍
茶垢	茶垢	chá gòu	附著在茶具上的黃褐色痕跡。通常是長時間喝茶累積而成。
鼻青眼腫	鼻青眼肿	bí qīng yǎn zhǒng	鼻青臉腫；形容臉部受傷烏青紅腫的慘狀。如：「你怎麼好端端的出去，卻鼻青臉腫的回來？」
金髮碧眼	金发碧眼	jīn fà bì yǎn	金色的頭髮和藍色的眼睛；西方外貌
紙質	纸质	zhǐ zhì	硬拷貝
六位數薪水	六位数薪水	liù wèi shù xīn shuǐ	十萬以上的薪水
拼車	拼车	pīn chē	【陸詞】幾個同路的乘客共同搭乘一輛汽車, 並分攤車資。【臺】即「共乘」。
搞笑片	搞笑片	gǎo xiào piàn	製造笑果、笑料的電影或電視劇。
種類豐富	种类丰富	zhǒng lèi fēng fù	varied/varietous
三觀一致	三观一致	sān guān yí zhì	指兩個人在‌人生觀、‌價值觀和‌世界觀這三個方面具有相似的觀念和看法。人生觀涉及對人生的看法和態度，價值觀涉及對事物的重要性和價值的判斷，世界觀涉及對世界的整體看法和理解。
翹課	翘课	qiào kè	【臺詞】（故意）不去上課。也作「蹺課」。例句：「他因翹課次數太多, 而遭到退學。」
翹班	翘班	qiào bān	【臺詞】（故意）不去上班。也作「蹺班」。例句：「他多次翹班, 遭停職查辦。」
根鬚	根须	gēn xū	密生於高等植物根部表面的毛狀物。由成熟區表皮細胞向外突出而成, 具吸收養分與水分的功能。也作「根毛」。
教長	教长	jiào zhǎng	宗主教
亞倫	亚伦	yà lún	Aaron
聖職	圣职	shèng zhí	基督教會神職人員的權力和職分。
麥基洗德	麦基洗德	mài jī xǐ dé	Melchizedek
按立	按立	àn lì	授聖職儀式
膏抹	膏抹	gāo mǒ	以油膏抹油
出埃及記	出埃及记	chū āi jí jì	The Book of Exodus
會幕	会幕	huì mù	Tabernacle
堵車	堵车	dǔ chē	道路上擁堵，車輛無法行駛。也作「塞車」。
醫患關係	医患关系	yī huàn guān xi	醫務人員和病患之間的關係。
硬盤	硬盘	yìng pán	hard drive
網盤	网盘	wǎng pán	cloud storage
上傳	上传	shàng chuán	將網頁、文字、圖片等, 從個人電腦或其他電子裝置傳送到遠端電腦上（與「下載」相對）。也作「上載」。
表情包	表情包	biǎo qíng bào	emoji
鏈接	链接	liàn jiē	1. 像鏈子一樣連接在一起。比如「鏈接系統」2. 指在電腦程式的各模塊之間傳遞參數和控制命令, 並把它們組成一個可執行的整體的過程。
